id,hedge_id,asset_id,projet_id,projet,technologie,type_hedge,date_debut,date_fin,date_dementelement,puissance_installée,en_planif,profil,pct_couverture,contrepartie,pays_contrepartie
73,73,73,RON3,Ronchois 3,éolien,OA,2010-10-01,2022-09-30,2026-06-30,11.2,FALSE,As produced,1,,
74,74,74,STAN,Saint André,éolien,OA,2008-04-15,2022-09-30,2026-06-30,11.5,FALSE,As produced,1,,
75,75,75,AURA19,Saint Christophe - Clé des champs,solaire,CR,2021-11-01,2041-10-31,,12.53,FALSE,As produced,1,,
76,76,76,SDI1,SdlL1,éolien,OA,2011-08-08,2022-09-30,,13,FALSE,As produced,1,,
77,77,77,SDI2,SdlL2,éolien,OA,2011-08-08,2022-09-30,,5,FALSE,As produced,1,,
78,78,78,SCRI,Seuil du Cambrésis- Ribecourt (RIB),éolien,CR16,2019-12-01,2034-11-30,,24.15,FALSE,As produced,1,,
79,79,79,SDA1,Sources de l'Ancre 1 ,éolien,CR16,2019-01-01,2033-12-31,,10.9,FALSE,As produced,1,,
80,80,80,SDA2,Sources de l'Ancre 2,éolien,CR16,2019-01-01,2033-12-31,,14.7,FALSE,As produced,1,,
81,81,81,SFR2,St François Roye 2,éolien,OA,2015-02-18,2030-02-17,,11.4,FALSE,As produced,1,,
82,82,82,SFR3,St François Roye 3,éolien,OA,2015-03-13,2030-03-12,,11.4,FALSE,As produced,1,,
83,83,83,STGE,St Georges (La Vallée 1),éolien,OA,2013-12-02,2028-12-01,,4.2,FALSE,As produced,1,,
84,84,84,SPH,St Patrick Hermin,éolien,OA,2010-02-02,2022-09-30,2026-07-01,11.5,FALSE,As produced,1,,
85,85,85,SPP1,St Patrick Pernois 1,éolien,OA,2009-07-01,2022-09-30,2026-07-01,9.2,FALSE,As produced,1,,
86,86,86,SPP2,St Patrick Pernois 2,éolien,OA,2009-08-25,2022-09-30,2026-07-01,9.2,FALSE,As produced,1,,
87,87,87,SPP3,St Patrick Pernois 3,éolien,OA,2009-09-18,2022-09-30,2026-07-01,4.6,FALSE,As produced,1,,
88,88,88,TOUV,Touvent,éolien,OA,2016-08-01,2031-07-31,,13.8,FALSE,As produced,1,,
89,89,89,VAM1,Val au Moines 1,éolien,OA,2017-08-18,2032-08-17,,11.4,FALSE,As produced,1,,
90,90,90,VAM2,Val au Moines 2,éolien,OA,2017-08-18,2032-08-17,,5.3,FALSE,As produced,1,,
91,91,91,VAA1,Vallée d'Arce 1 (DR),éolien,OA,2009-12-02,2022-09-30,2027-06-30,13,FALSE,As produced,1,,
92,92,92,VAA2,Vallée d'Arce 2 (NY),éolien,OA,2009-10-09,2022-09-30,2027-06-30,6.6,FALSE,As produced,1,,
93,93,93,VAA3,Vallée d'Arce 3 (NU),éolien,OA,2009-10-09,2022-09-30,2027-06-30,13,FALSE,As produced,1,,
94,94,94,VDMO,Voie des monts,éolien,OA,2017-07-10,2032-07-09,,10,FALSE,As produced,1,,
95,95,95,VRON,Vron,éolien,OA,2013-09-15,2028-09-14,,8,FALSE,As produced,1,,
96,96,96,ZOND,Zondrange,éolien,OA,2016-12-01,2031-11-30,,12.5,FALSE,As produced,1,,
97,97,97,APV1,Agri-PV 1,solaire,CR,2027-09-01,2047-09-01,,1.18195,TRUE,,1,,
98,98,98,APV2,Agri-PV 2,solaire,CR,2027-09-01,2047-09-01,,1.18195,TRUE,,1,,
99,99,99,APV3,Agri-PV 3,solaire,CR,2027-09-01,2047-09-01,,1.18195,TRUE,,1,,
100,100,100,APV4,Agri-PV 4,solaire,CR,2027-09-01,2047-09-01,,1.18195,TRUE,,1,,
101,101,101,APV5,Agri-PV 5,solaire,CR,2027-09-01,2047-09-01,,1.18195,TRUE,,1,,
102,102,102,APV6,Agri-PV 6,solaire,CR,2028-09-01,2048-09-01,,1.18195,TRUE,,1,,
103,103,103,APV7,Agri-PV 7,solaire,CR,2028-09-01,2048-09-01,,1.18195,TRUE,,1,,
104,104,104,APV8,Agri-PV 8,solaire,CR,2028-09-01,2048-09-01,,1.18195,TRUE,,1,,
105,105,105,APV9,Agri-PV 9,solaire,CR,2028-09-01,2048-09-01,,1.18195,TRUE,,1,,
106,106,106,AURA01,Deux-Chaises et le Theil,éolien,CR,2027-10-01,2047-10-01,,15.2,TRUE,,1,,
107,107,107,AURA02,Massif du Devès,éolien,CR,2025-08-01,2045-08-01,,12.816,TRUE,,1,,
108,108,108,AURA03,Chazemais (Les Brandes),éolien,CR,2028-01-01,2048-01-01,,19.2,TRUE,,1,,
109,109,109,AMI01,AO/AMI 2022-1,solaire,CR,2026-07-01,2046-07-01,,14.7744,TRUE,,1,,
110,110,110,AMI02,AO/AMI 2022-2,solaire,CR,2026-10-01,2046-10-01,,14.7744,TRUE,,1,,
111,111,111,AMI03,AO/AMI 2022-3,solaire,CR,2027-02-01,2047-02-01,,11.81952,TRUE,,1,,
112,112,112,SE14,Argilliers,solaire,CR,2025-07-01,2045-07-01,,18.468,TRUE,,1,,
113,113,113,S14,Avignonet Barbette,solaire,CR,2025-05-01,2045-05-01,,6.156,TRUE,,1,,
114,114,114,NGE6,Bachant,éolien,CR,2027-04-01,2047-04-01,,17.28,TRUE,,1,,
115,115,115,AURA04,Blomard - BMF,éolien,CR,2028-04-01,2048-04-01,,16,TRUE,,1,,
116,116,116,N15,Caumont-Chériennes (CC),éolien,CR,2023-11-01,2043-11-01,,17.25,TRUE,,1,,
117,117,117,ECO5,Les Cent Mencaudées (SOL),éolien,CR,2024-01-01,2044-01-01,,15,TRUE,,1,,
118,118,118,GE2,Bonnecourt-Chauffourt,éolien,CR,2030-07-01,2050-07-01,,16.56,TRUE,,1,,
119,119,119,S13,Bram,solaire,CR,2025-07-01,2045-07-01,,6.156,TRUE,,1,,
120,120,120,ECO8,Bois de St-Aubert (WAL)*,éolien,CR,2024-01-01,2044-01-01,,16.02,TRUE,,1,,
121,121,121,GO08,Canville-les-deux-eglises (co-dev KDE),éolien,CR,2027-01-01,2047-01-01,,14.4,TRUE,,1,,
122,122,122,KEI2,Bois Ricart,éolien,CR,2023-11-01,2043-11-01,,14,TRUE,,1,,
123,123,123,AURA05,Prospection PV AURA - 5,solaire,CR,2026-08-01,2046-08-01,,4.9248,TRUE,,1,,
124,124,124,S09,Extension Avignonet,solaire,CR,2024-03-01,2044-03-01,,11.8503,TRUE,,1,,
125,125,125,AURA06,Saint-Angel,éolien,CR,2027-11-01,2047-11-01,,11.52,TRUE,,1,,
126,126,126,AURA08,Forêt de Bauzon,éolien,CR,2027-08-01,2047-08-01,,22.4,TRUE,,1,,
127,127,127,AURA09,Extension Sources de la Loire,éolien,CR,2026-01-01,2046-01-01,,9.6,TRUE,,1,,
128,128,128,S15,Crayssac,solaire,CR,2025-12-01,2045-12-01,,8.0028,TRUE,,1,,
129,129,129,AURA10,Sainte-Eulalie,éolien,CR,2028-10-01,2048-10-01,,9.216,TRUE,,1,,
130,130,130,GO15,Marcillé,éolien,CR,2023-08-01,2043-08-01,,12,TRUE,,1,,
131,131,131,SE12,Estézargues (PV),solaire,CR,2025-06-01,2045-06-01,,9.234,TRUE,,1,,
132,132,132,N16,Moulin Blanc,éolien,CR,2024-03-01,2044-03-01,,25.6,TRUE,,1,,
133,133,133,N12,Extension Fortel (XFB-62),éolien,CR,2025-12-01,2045-12-01,,14.4,TRUE,,1,,
134,134,134,GO21,Extension Grand Camp,éolien,CR,2026-07-01,2046-07-01,,8.64,TRUE,,1,,
135,135,135,ECO7,Extension La Chaussée Brunehaut (XLCB),éolien,CR,2027-10-01,2047-10-01,,5.28,TRUE,,1,,
136,136,136,GO27,Extension Plaine de Beaunay,éolien,CR,2026-11-01,2046-11-01,,14.4,TRUE,,1,,
