id,asset_id,projet_id,projet,technologie,cod,mw,taux_succès,puissance_installée,eoh,date_merchant,date_dementelement,repowering,date_msi,en_planif,p50,p90
62,62,SE01,Peyrolles,solaire,2021-10-01 00:00:00,14.66,1,14.66,1512.96044,2041-09-30 00:00:00,,,,FALSE,22798.8,20897.9
63,63,PDBE,Plaine de Beaunay,éolien,2017-09-19 00:00:00,12.5,1,12.5,2264.00008,2032-09-18 00:00:00,,,,FALSE,28469.8,25854.2
64,64,PLAN,Plateau de Langres,éolien,2009-08-12 00:00:00,12,1,12,1551.66667,2024-08-11 00:00:00,2026-07-01 00:00:00,Non,2027-01-01 00:00:00,FALSE,18650.18097,17339.62771
65,65,PDS1,Plateau de Savernat 1,éolien,2016-11-24 00:00:00,12,1,12,2194.875,2031-11-23 00:00:00,,,,FALSE,25359.20671,23581.21224
66,66,PDS2,Plateau de Savernat 2,éolien,2017-05-24 00:00:00,4,1,4,2194.875,2032-05-23 00:00:00,,,,FALSE,8307.43331,7724.97934
67,67,PLOU,Plouguin,éolien,2006-01-30 00:00:00,8,1,8,2317.62487,2021-01-29 00:00:00,2026-06-30 00:00:00,Oui,2026-12-31 00:00:00,FALSE,18541,17400
68,68,KEI3,Repowering Bougainville (BGV-R),éolien,2022-12-01 00:00:00,18,1,14.4,2571,2042-11-30 00:00:00,,,,FALSE,48100,42300
69,69,GO02,Repowering Evit Et Josaphats (EEJ-R),éolien,2022-06-01 00:00:00,14.4,1,11.52,2905,2042-05-31 00:00:00,,,,FALSE,42100,36800
70,70,GO03,Repowering Reclainville (RCL-R),éolien,2022-06-01 00:00:00,14.4,1,11.52,2820,2042-05-31 00:00:00,,,,FALSE,40800,35300
71,71,RON1,Ronchois 1,éolien,2010-08-01 00:00:00,11.6,1,11.6,2116.6667,2025-07-31 00:00:00,2026-06-30 00:00:00,Oui,2026-12-31 00:00:00,FALSE,25493.85482,23686.08361
72,72,RON2,Ronchois 2,éolien,2010-08-01 00:00:00,5.77,1,5.77,2116.6667,2025-07-31 00:00:00,2026-06-30 00:00:00,Oui,2026-12-31 00:00:00,FALSE,12637.26268,11741.1534
73,73,RON3,Ronchois 3,éolien,2010-10-01 00:00:00,11.2,1,11.2,2116.6667,2025-09-30 00:00:00,2026-06-30 00:00:00,Oui,2026-12-31 00:00:00,FALSE,24720.38759,22967.46299
74,74,STAN,Saint André,éolien,2008-04-15 00:00:00,11.5,1,11.5,1765.2173,2023-04-14 00:00:00,2026-06-30 00:00:00,Oui,2026-12-31 00:00:00,FALSE,20727.81876,18991.99157
75,75,AURA19,Saint Christophe - Clé des champs,solaire,2021-11-01 00:00:00,12.53,1,12.53,1413.40782,2041-10-31 00:00:00,,,,FALSE,16572,15191.53828
76,76,SDI1,SdlL1,éolien,2011-08-08 00:00:00,13,1,13,2282.77778,2026-08-07 00:00:00,,,,FALSE,28703.22675,26477.7025
77,77,SDI2,SdlL2,éolien,2011-08-08 00:00:00,5,1,5,2282.77778,2026-08-07 00:00:00,,,,FALSE,14585.65866,13454.74967
78,78,SCRI,Seuil du Cambrésis- Ribecourt (RIB),éolien,2019-12-01 00:00:00,24.15,1,24.15,3080.74534,2034-11-30 00:00:00,,,,FALSE,59438.97815,53675.25773
79,79,SDA1,Sources de l'Ancre 1 ,éolien,2019-01-01 00:00:00,10.9,1,10.9,2575.32468,2033-12-31 00:00:00,,,,FALSE,23891.98643,21371.19785
80,80,SDA2,Sources de l'Ancre 2,éolien,2019-01-01 00:00:00,14.7,1,14.7,2575.32468,2033-12-31 00:00:00,,,,FALSE,32328.32258,28917.43556
81,81,SFR2,St François Roye 2,éolien,2015-02-18 00:00:00,11.4,1,11.4,2283.33333,2030-02-17 00:00:00,,,,FALSE,26849.77041,24935.62492
82,82,SFR3,St François Roye 3,éolien,2015-03-13 00:00:00,11.4,1,11.4,2283.33333,2030-03-12 00:00:00,,,,FALSE,25366.59533,23558.1868
83,83,STGE,St Georges (La Vallée 1),éolien,2013-12-02 00:00:00,4.2,1,4.2,1982.81244,2028-12-01 00:00:00,,,,FALSE,9265.57156,8601.32412
