asset_id,projet_id,projet,date,année,trim,mois,p50_adj,p90_adj
4,ALVE,Ally Verseilles,2022-02-01,2022,Q1-22,2,2370.38912006,2161.34134268
5,ART1,Artois 1,2022-02-01,2022,Q1-22,2,3848.5022273099994,3606.6227021799996
6,ART2,Artois 2,2022-02-01,2022,Q1-22,2,2759.8146252499996,2586.3594372
7,AVI1,Avignonet I,2022-02-01,2022,Q1-22,2,1615.0,1501.0
8,AVI2,Avignonet II,2022-02-01,2022,Q1-22,2,1007.0,931.0
9,BTN1,Basse Thiérache Nord 1 ,2022-02-01,2022,Q1-22,2,3496.90665948,3121.70172349
10,BTN2,Basse Thiérache Nord 2,2022-02-01,2022,Q1-22,2,1783.30303417,1591.96132504
11,BASS,Bassigny,2022-02-01,2022,Q1-22,2,2400.2026321,2237.0820615
12,BAZO,Bazougeais,2022-02-01,2022,Q1-22,2,3617.27414268,3166.48921909
13,PBBF,Blanches Fosses PBF,2022-02-01,2022,Q1-22,2,3286.83864348,2921.97228676
14,GO01,Bois des Fontaines (BDF),2022-02-01,2022,Q1-22,2,,
15,BSLL,Boralex Solaire Lauragais SAS,2022-02-01,2022,Q1-22,2,236.82038688,228.59218656
16,BSLC,Boralex Solaire Les Cigalettes SAS (Montfort),2022-02-01,2022,Q1-22,2,725.6871864000001,690.9906744
17,CALM,Calmont (Laur Eole Energie ),2022-02-01,2022,Q1-22,2,3223.3127630400004,2953.9015476900004
18,CHL2,Cham Longe II,2022-02-01,2022,Q1-22,2,1354.9681449500001,1266.1177755099998
19,CLRE,Cham Longe Repowering,2022-02-01,2022,Q1-22,2,10467.380000000001,9378.6
20,CHAR,Charmoy,2022-02-01,2022,Q1-22,2,2803.88651968,2611.34495808
21,CHMA,Chasse Marée,2022-02-01,2022,Q1-22,2,2416.6800000000003,2219.4
22,CHDG,Chemin de Grès,2022-02-01,2022,Q1-22,2,8617.47492065,7917.223331850001
23,CHEP,Chépy,2022-02-01,2022,Q1-22,2,749.24049544,687.82733822
24,COCO,Coat Conval,2022-02-01,2022,Q1-22,2,1211.79,1133.61
25,CDAR,Comes de l'Arce,2022-02-01,2022,Q1-22,2,2949.0173126400005,2727.549615
26,COBL,Coteaux du Blaiseron,2022-02-01,2022,Q1-22,2,3180.27345034,2849.2454723
